book,author,qtype,question,answer
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, what is the first and last name of the only girl on J.D.’s peewee football team?",Jessyka Fleet (p. 22-23)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, what does it mean for Jordan’s family to be “Creasters?”",They only go to church on Christmas and Easter (p. 27)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, who is on the cover of the Madden NFL 20 video game?",Patrick Mahomes (p. 29)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, how much does a kids’ haircut cost at Hart and Son Barbershop?",$7.50 (p. 30)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, what type of cream does J.D.’s mom use monthly to straighten her hair?",Relaxer (p. 32)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, how old is Justin when J.D. cuts his hair for the first time?",Three (p. 41)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, when J.D. cuts Jordan’s hair for the first time, what two images does he shave into the haircut?","Jumpman, Chicago Bulls logo (p. 51)"
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, how much does J.D. charge his friends for haircuts when he first starts his business?",$3.00 (p. 52)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, what is the name of the County Health Inspector?",Robert Victor (p. 69)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, what does J.D. buy with his earnings?",A new video game console (p. 73)
J.D. and the Great Barber Battle,J. Dillard,con,"In J.D. and the Great Barber Battle by J. Dillard, what is the first of three hairstyles the contestants have to cut in the Great Barber Battle?",A fade (p. 101)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book is the design and writing meant to be friendly to readers with dyslexia?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p.editor’s note)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does a street dead-end at the St. Luke’s Epicopal Church Cemetery? ,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 7)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book is a sister mad about a drawing of her napping when she was supposed to be watching her siblings?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 12)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone get teased for having a “nickname” and no middle name? ,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 13)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone find relief from a busy household by drawing on the wall beside their bed?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 36)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone rely on reading their friends lips as they read out loud from Western movie posters?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 49)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,"In which book do the kids build a clubhouse using old fence slats, bricks for the floor and a car window?",Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p.60)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does a mother keep her kid’s dinner warm by covering it with an upside down plate and setting it on top of a pot of water on a low flame?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 74)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone get in trouble for wanting to see the Steel Pier High-Diving Horses?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 84)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone accidentally kill a small bird with their bow and arrow?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 98)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone consider their work helping to paint hex signs as great training?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 125)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,In which book does someone drop out of college and get a job at a florist’s shop delivering flowers?,Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 133)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,iwb,"In which book does a museum purchase an original oil painting to hang in its collection, and give a shout out to the artist on their 81st birthday?",Just Jerry: How Drawing Shaped My Life by Jerry Pinkney (p. 141)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry’s favorite place to draw in his crowded home is where?",Under the upright piano keyboard (p. 29)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry finds a stash of what kind of magazines in a wardrobe full of bed linens? What was the main topic of those magazines?",Life magazine. World War II (p. 34)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry’s mother gives him something to calm his stomach before going to school. What is it?",Tums (p. 46)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, a teacher asks Jerry to help with a school wide unit about safety by doing what?",Drawing a fire engine on the chalkboard (p. 53)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, the boys ride their bikes to the Ben Franklin Bridge which crosses which river?",The Delaware (p. 68)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, what color are the police cars in Philadelphia?",Fire-engine red (p. 73)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, the family goes to the Jersey Shore for vacation. What is the name of the Black section of beach?",Chicken Bone Beach (p. 79)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry and his friends would offer shoe-shines outside of Woolworth five-and-dime. How much did they charge?",Fifteen cents (p. 107)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry finds the perfect still life in a shop window. What is in the shop window?",Headless mannequins in wedding dresses (p. 117)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry meets a real artist while selling newspapers. What is the artist’s name and what does he draw to make a living?",John Liney. A comic strip named HENRY. (p. 120)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, what is the subject of Jerry’s first oil painting?",Jesus praying at a rock (p. 127)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, Jerry goes to Murrell Dobbins Vocational High School to study what?",Commercial art (p. 128)
Just Jerry: How Drawing Shaped My Life,Jerry Pinkney,con,"In Just Jerry: How Drawing Shaped My Life by Jerry Pinkney, the Philadelphia Museum of Art mounts a solo exhibition of Jerry’s work. What is the name of the exhibit?",Witness: The Art of Jerry Pinkney (p. 129)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,"In which book does the character say “I’m a Girl Scout, and I’m here to save you”? ",Leonard (My Life as a Cat) by Carlie Sorosiak (p. 12)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book do they have curtains that are tan colored?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 25)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book is there a turtle night-light?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 27)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book was there a packet of coupons for jumbo shrimp and other “sea delights”?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 32)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book do they plan to blame the shredding of the letters on the birds?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 38)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,"In which book do they have Coco Pops, Froot Loops and Cinnamon Toast Crunch cereal?",Leonard (My Life as a Cat) by Carlie Sorosiak (p. 41)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book do they own a backpack shaped like a turtle’s shell?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 47)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book are they warned to not try the clam flavored ice cream?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 56)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book is there a stuffed animal horse named Mr. Stickhorse?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 63)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book do they have a box of crayons with ninety-six colors?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 87)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book did they want to rename golf carts “Danger Mobiles”?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 90)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book did they go see The Wizard of Oz?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 127)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book did they order a chocolate-cherry ice cream cone?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 132)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book is someone’s scent identified as cinnamon toast and raspberry shampoo? ,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 146)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book did someone become mildly obsessed with Hungry Hungry Hippos?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 147)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book did they get a wild-cherry slurpee?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 186)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,In which book did they attend a Science Explorers camp?,Leonard (My Life as a Cat) by Carlie Sorosiak (p. 204)
Leonard (My Life as a Cat),Carlie Sorosiak,iwb,"In which book does their mom make pancakes on Christmas morning, sometimes with strawberries in them?",Leonard (My Life as a Cat) by Carlie Sorosiak (p. 241)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what flavor are the crunchies first fed to Leonard?",Trout flavored (p. 3)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, according to Leonard’s joke, how many park rangers does it take to change a light bulb?",Twenty-two (p. 7)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, how tall is Earth’s largest flower? ",Over nine feet tall (p. 21)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what is the name for a group of cats?",A clowder (p. 25)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, how long can alpine swifts fly without stopping?",Six months (p. 30)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what are the mountains made of on Leonard’s home planet?",Crystals (p. 34)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, which friend of Olive’s owns a family farm?",Hazel (p. 42)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, how many stingrays are at the aquarium?",Three (p. 48)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what are the two sharks named at the aquarium?",Steve and Martin (p. 57)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, how many days does the average human live for?","28,835 (p. 68)"
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what percentage of Antarctic ice is made from penguin urine?",Three percent (p. 91)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what is the first message that Leonard types to Olive?","hello olive, it is me leonard i am an alien do not be scared. (p. 98)"
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, how old is Olive?",Eleven (p. 108)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what is the date of Norma’s Save the Sea Turtles event?",July eighteenth (p. 111)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what color is Olive’s beach towel?",Green (p.182)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, what year was Q’s Winnebago? ",Nineteen sixty-nine (p. 183)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, according to Norma, what's the name of the cafe that makes biscuits that are an educational experience?",Tupelo Honey cafe (p. 187)
Leonard (My Life as a Cat),Carlie Sorosiak,con,"In Leonard (My Life as a Cat) by Carlie Sorosiak, how far away from Old Faithful were they when the Winnebago broke down?",Fifteen Miles (p.211)
Marshmallow & Jordan,Alina Chau,iwb,In which book does the story begin during monsoon rains and thunderstorms? ,Marshmallow & Jordan by Alina Chau (p. 1)
Marshmallow & Jordan,Alina Chau,iwb,In which book does the team captain stand in for her basketball coach when he has to leave early?,Marshmallow & Jordan by Alina Chau (p. 10)
Marshmallow & Jordan,Alina Chau,iwb,In which book does someone use a scooter to give assistance to someone with an injured leg?,Marshmallow & Jordan by Alina Chau (p. 23)
Marshmallow & Jordan,Alina Chau,iwb,In which book does someone change out of their tennis shoes into flip flops when they get home from work?,Marshmallow & Jordan by Alina Chau (p. 39)
Marshmallow & Jordan,Alina Chau,iwb,In which book are the students studying the Pacific Rim of Fire?,Marshmallow & Jordan by Alina Chau (p. 66)
Marshmallow & Jordan,Alina Chau,iwb,In which book does a student fall asleep in class because they stayed up late playing Star Wars: Battlefront?,Marshmallow & Jordan by Alina Chau (p. 71)
Marshmallow & Jordan,Alina Chau,iwb,In which book does an elephant join a basketball team?,Marshmallow & Jordan by Alina Chau (p. 84)
Marshmallow & Jordan,Alina Chau,iwb,In which book does the main character admire a Golden State Warrior basketball player?,Marshmallow & Jordan by Alina Chau (p. 89)
Marshmallow & Jordan,Alina Chau,iwb,In which book does a character dig a pool in the middle of the night?,Marshmallow & Jordan by Alina Chau (p. 117)
Marshmallow & Jordan,Alina Chau,iwb,In which book does a main character rediscover swimming as an enjoyable activity? ,Marshmallow & Jordan by Alina Chau (p. 127)
Marshmallow & Jordan,Alina Chau,iwb,In which book does someone overhear a conversation about herself while she’s in the girls’ restroom?,Marshmallow & Jordan by Alina Chau (p. 225)
Marshmallow & Jordan,Alina Chau,iwb,In which book does the basketball team travel to another team’s game?,Marshmallow & Jordan by Alina Chau (p. 252)
Marshmallow & Jordan,Alina Chau,iwb,In which book does someone love pineapple Cold Whip with extra coconut topping? ,Marshmallow & Jordan by Alina Chau (p. 347)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Jordan has two favorite basketball players. Who are they?",Michael Jordan and Steph Curry (p. 88)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Hans brings smoothies for his sister and friend. What kind are they?",Avocado and chocolate (p. 12)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Jordan hears something whimpering in the playground on the way home from school. What is it?",A white elephant (p. 19)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Jordan prays to an elephant god to watch over her elephant friend. What is the name of the god?",Lord Ganesh (p. 55)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, what is the first name that Jordan suggests for her elephant?",Cotton Puff (p. 58)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, who is Jordan named for?",Michael Jordan (p. 88)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Jordan’s dad pretends to be shopping for Nanek’s sewing club. What are two of the things he buys?",Mango and durian (p. 133)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Jordan’s basketball coach recommends that she try out for what other school athletic team?",Water polo (p. 154)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, why does Jordan miss the basketball team’s first game?",She has to stay late at water polo practice (p. 209)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, Kemala is afraid she will lose her scholarship. Why does she need it so badly?",Their farm isn’t doing well because of the drought (p. 224)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, in the last 10 seconds of the water polo game who scores?",Jordan (p. 293)
Marshmallow & Jordan,Alina Chau,con,"In Marshmallow & Jordan by Alina Chau, it turns out that the elephant is not an elephant. What is it?",A regional rain cloud (p. 340)
Sam Makes a Splash,Nicole Melleby,iwb,"In which book does someone use a white-noise machine, and what is their name?","Sam Makes a Splash by Nicole Melleby, and Marina (p. 2)"
Sam Makes a Splash,Nicole Melleby,iwb,"In which book are siblings compared to Russian dolls, based on their similar appearances?",Sam Makes a Splash by Nicole Melleby (p. 13)
Sam Makes a Splash,Nicole Melleby,iwb,In which book is there a neighbor named Ms. Patel?,Sam Makes a Splash by Nicole Melleby (p. 15)
Sam Makes a Splash,Nicole Melleby,iwb,In which book are there siblings of Syrian descent?,Sam Makes a Splash by Nicole Melleby (p.23)
Sam Makes a Splash,Nicole Melleby,iwb,In which book do they visit the neighborhood called Forked River?,Sam Makes a Splash by Nicole Melleby (p.45)
Sam Makes a Splash,Nicole Melleby,iwb,"In which book does someone declare that they are going to go to culinary school, business school, and play baseball? And who was it?",Sam Makes a Splash by Nicole Melleby (p.46)
Sam Makes a Splash,Nicole Melleby,iwb,"In which book is it stated that it’s a scientific fact that once a kid turns fourteen, they start turning into a grump?",Sam Makes a Splash by Nicole Melleby (p.55)
Sam Makes a Splash,Nicole Melleby,iwb,In which book is there a diner that has been missing the L in their sign that says Daily?,Sam Makes a Splash by Nicole Melleby (p.58)
Sam Makes a Splash,Nicole Melleby,iwb,In which book is there a coupon for Perry’s Golf Course?,Sam Makes a Splash by Nicole Melleby (p.61)
Sam Makes a Splash,Nicole Melleby,iwb,"In which book is someone pee-shy, and who is it?",Sam Makes a Splash by Nicole Melleby (p.65)
Sam Makes a Splash,Nicole Melleby,iwb,In which book is there a dog that likes cucumbers?,Sam Makes a Splash by Nicole Melleby (p.87)
Sam Makes a Splash,Nicole Melleby,iwb,In which book do they make Chicken Cutlets?,Sam Makes a Splash by Nicole Melleby (p.88)
Sam Makes a Splash,Nicole Melleby,iwb,In which book do they make cupcakes that look like bald eagles?,Sam Makes a Splash by Nicole Melleby (p. 94)
Sam Makes a Splash,Nicole Melleby,iwb,In which book does someone add goat cheese to the omelet?,Sam Makes a Splash by Nicole Melleby (p. 123)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, how long was the Chaparral boat that their Mom was working on?",Forty-Five feet (p. 2)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what did the arrival of the Badger Boys mean? ",The beginning of Summer (p. 6)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, how many feet wide was the lagoon from the end of their dock to the beginning of the Badgers’ dock?",Fifty feet (p. 7)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, the marshes are a national wildlife refuge and what are two types of birds that call it home?","Ospreys, Egret, or Blue Heron (p.15)"
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what is the name of the thirteen foot Boston Whaler?",Raggedy Ann (p. 18)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what is Pork’s real name?",Pete (p.25)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, how long has Sam been a member of the Ali- O’Connor family?",Three years (p. 28)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what is the name of Mr. Martin’s boat? ",The Lovely Lilah (p. 41)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what is the name of the most lively restaurant on the river?",Captain’s Inn (p. 46)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what type of animal eats the fiddler crabs? ",The Egrets (p. 53)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, how much does an ad cost for the biggest square on the mat at the diner?",Seven hundred forty-nine dollars and ninety-five cents (p. 66)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, where does everyone take their boats on the 4th of July?",Tices Shoal (p. 77)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what is the name of the Perezs’ boat?",The Happy Harpoon (p. 95)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, what is Sam’s grandmother’s room number? ",Room 129 (p.131)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, Sam’s grandma recites a poem by which poet to Harbor?",John Henry Yates (p. 134)
Sam Makes a Splash,Nicole Melleby,con,"In Sam Makes a Splash by Nicole Melleby, how many flukes were Mr. Martin and Mr. Harris each able to keep?",3 (p. 157)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is a character forbidden to cross the creek?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 3)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a character’s grandmother make medicines and potions from plants and herbs?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 8)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a cat use a green sock as a comfort item?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 21)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is a village known for making beautiful rag dolls?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 16)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book can a character predict things that will happen in the near future? ,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 25)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a king seek to make an alliance with eleven other rulers?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 36)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is a large event to celebrate a character’s fifteenth birthday approaching? ,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 39)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is it said that the river is so dangerous that only flotsam survives? ,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 39)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is there a secret passageway hidden behind a bookshelf?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 52)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is it said that hot chocolate calms the soul?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 58)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a character drink hot chocolate sprinkled with cayenne pepper? ,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 59)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a type of magic only work in the sunshine?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 63)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,"In which book is a character delivered a secret note that says, Don’t eat the pastries?",Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 176)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is a character meant to change their shoes as part of a birthday ceremony?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 74)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book is a character excited to find that their dress was made with pockets? ,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 77)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a character wear a flotation vest filled with the fluffy fibers from the seed pods of kapok trees?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 90)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a character call themselves a “flume-ologist?”,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 105)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a character make a pair of shoes out of leather and cotton?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 113)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,iwb,In which book does a character name a raft after their mother?,Solimar: The Sword of the Monarchs by Pam Muñoz Ryan (p. 116)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what type of bird is Lázaro?",Quetzal (or resplendent quetzal) (p. 2)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, the ancestors of what creature inhabit the oyamel forest?",Monarch butterflies (p. 2)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what is Solimar’s Abuela’s full name?",Doña Ana Socorro (p. 8)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what are the first names of Solimar’s parents?",Sebastián and Rosalinda (p. 11)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what is Solimar’s brother’s given first name, and what is the nickname everyone has called him since he was a toddler? ","Constantino, Campeón (p. 11)"
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what is the name of the massive fair in Puerto Rivera?",El Gran Mercado (p. 12)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, which herb does Abuela need for a medicinal tea that treats headaches and stomach ailments?",Mentha spicata (or spearmint) (p. 13)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, María’s mother was planning on making a pineapple cake for dessert, but changed her mind. What does she decide to make instead?",Orange flan (p. 26)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what is Solimar’s nickname for Señor Verde?",The Shadow (p. 33)
Solimar: The Sword of the Monarchs,Pam Muñoz Ryan,con,"In Solimar: The Sword of the Monarchs by Pam Muñoz Ryan, what is the name of the ship on which Campeón plans to secretly work as a deckhand?",La Quinta (p. 42)
